radius;frequency
0.5336699;0
0.6135907;0
0.7054802;0
0.8111308;0
0.9326033;0
1.072267;0
1.232847;0
1.417474;0
1.629751;0
1.873817;9.98737E-05
2.154435;0.0003452116
2.477076;0.0005659755
2.848036;0.0005974735
3.274549;0.0004132472
3.764936;0.0001484643
4.328762;0
4.977024;0
5.722367;0
6.579332;0
7.564633;0
8.69749;0
10;0
11.49757;0
13.21941;0
15.19911;0
17.47528;0
20.09233;0.000336791
23.1013;0.004231718
26.56088;0.01297354
30.53856;0.02636628
35.11192;0.04315288
40.37017;0.06139281
46.41589;0.07879359
53.36699;0.09301301
61.35907;0.1019549
70.54803;0.104071
81.11308;0.09865867
93.26033;0.08611067
107.2267;0.06804466
123.2847;0.04722074
141.7474;0.02715918
162.9751;0.01139766
187.3817;0.002376043
215.4435;0
247.7076;0
284.8036;0
327.4549;0
376.4936;0
432.8761;0
497.7023;0
572.2368;0.002727672
657.9332;0.01109459
756.4634;0.02332672
869.749;0.03519577
1000;0.04222453
1149.757;0.04154722
1321.941;0.03311017
1519.911;0.01993141
1747.528;0.007197221
2009.233;4.916254E-05
2310.13;0
2656.088;0
3053.856;0
3511.192;0
4037.017;0
4641.589;0
5336.699;0
6135.907;0
7054.802;0
8111.309;0
9326.033;0
