radius;frequency
0.5336699;0
0.6135907;0
0.7054802;0
0.8111308;0
0.9326033;0
1.072267;0
1.232847;0
1.417474;0
1.629751;0
1.873817;0
2.154435;0
2.477076;0
2.848036;0
3.274549;0
3.764936;0
4.328762;0
4.977024;0
5.722367;0
6.579332;0
7.564633;0
8.69749;0
10;0
11.49757;0
13.21941;0
15.19911;0
17.47528;0
20.09233;0
23.1013;0
26.56088;0.002492703
30.53856;0.01939364
35.11192;0.04820555
40.37017;0.08016363
46.41589;0.105964
53.36699;0.1191704
61.35907;0.1175909
70.54803;0.1030786
81.11308;0.08030766
93.26033;0.0550974
107.2267;0.03279252
123.2847;0.01707306
141.7474;0.009391515
162.9751;0.00905099
187.3817;0.01378591
215.4435;0.02061293
247.7076;0.02669614
284.8036;0.03001274
327.4549;0.02969187
376.4936;0.02600265
432.8761;0.02005833
497.7023;0.01336265
572.2368;0.007340681
657.9332;0.002974783
756.4634;0.000618131
869.749;0
1000;0.0003858727
1149.757;0.001224316
1321.941;0.001993246
1519.911;0.002383793
1747.528;0.002378003
2009.233;0.002213005
2310.13;0.002256142
2656.088;0.002838072
3053.856;0.004099648
3511.192;0.005902554
4037.017;0.007835424
4641.589;0.009320866
5336.699;0.009800242
6135.907;0.008947592
7054.802;0.006846252
8111.309;0.004053917
9326.033;0.001484531
