radius;frequency
0.5336699;0
0.6135907;0
0.7054802;0
0.8111308;0
0.9326033;0
1.072267;0
1.232847;0
1.417474;0
1.629751;0
1.873817;0
2.154435;0
2.477076;0
2.848036;0
3.274549;0
3.764936;0
4.328762;0
4.977024;0
5.722367;0
6.579332;0
7.564633;0
8.69749;0
10;0
11.49757;0
13.21941;0
15.19911;0
17.47528;0
20.09233;0
23.1013;0
26.56088;0
30.53856;0
35.11192;0.02921399
40.37017;0.08322299
46.41589;0.1393786
53.36699;0.1741447
61.35907;0.1740415
70.54803;0.1401743
81.11308;0.08688135
93.26033;0.0355418
107.2267;0.004965593
123.2847;0
141.7474;0
162.9751;0
187.3817;0
215.4435;0
247.7076;0
284.8036;0
327.4549;0
376.4936;0
432.8761;0
497.7023;0.00125648
572.2368;0.008253011
657.9332;0.01885492
756.4634;0.02872685
869.749;0.03417573
1000;0.03355489
1149.757;0.02750574
1321.941;0.01838815
1519.911;0.009262304
1747.528;0.00274619
2009.233;0
2310.13;0
2656.088;0
3053.856;0
3511.192;0
4037.017;0
4641.589;0.0001789264
5336.699;0.0004265366
6135.907;0.0005037754
7054.802;0.0003357636
8111.309;8.698453E-05
9326.033;0
